id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147200, Deep Fried Mozzarella Cheese Sticks, mozzarella cheese, 16, ounces, , 1469.6377, 123.4677, 61.5071, 81.0569, , , 
147200, Deep Fried Mozzarella Cheese Sticks, water, 1/2, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147200, Deep Fried Mozzarella Cheese Sticks, garlic powder, 1/2, teaspoon, , 5.1305, 1.1273, 0.2565, 0.0113, , , 
147200, Deep Fried Mozzarella Cheese Sticks, oregano, 1/2, teaspoon, crushed dried, 1.325, 0.3446, 0.045, 0.0214, , , 
147200, Deep Fried Mozzarella Cheese Sticks, parsley, 1/2, teaspoon, crushed dried, 0.225, 0.0396, 0.0186, 0.0049, , , 
147200, Deep Fried Mozzarella Cheese Sticks, cornstarch, 1/3, cup, , 162.56, 38.9419, 0.1109, 0.0213, , , 
147200, Deep Fried Mozzarella Cheese Sticks, egg, 3, , beaten, 214.5, 1.08, 18.84, 14.265, , , 
147200, Deep Fried Mozzarella Cheese Sticks, italian breadcrumb, 1 1/2, 1/2, seasoned, -, -, -, -, , , 
147200, Deep Fried Mozzarella Cheese Sticks, flour, 2/3, cup, , 385.52, 84.4036, 6.2673, 1.4957, , , 
147200, Deep Fried Mozzarella Cheese Sticks, salt, 1/8, teaspoon, , -, -, -, -, , , 
147200, Deep Fried Mozzarella Cheese Sticks, pepper, 1/8, teaspoon, , 0.7216, 0.1839, 0.0299, 0.0094, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147208, Fig Nut Chicken Roll-ups, red apple, 1/2, cup, chopped chopped, 32.155, 7.6627, 0.1472, 0.109, , , 
147208, Fig Nut Chicken Roll-ups, celery, 1/4, cup, chopped, 4.04, 0.7499, 0.1742, 0.0429, , , 
147208, Fig Nut Chicken Roll-ups, green onion, 1/4, cup, chopped, 4.7925, 1.0188, 0.1722, 0.0834, , , 
147208, Fig Nut Chicken Roll-ups, poultry seasoning, 1/2, teaspoon, , 2.3025, 0.4919, 0.0719, 0.0565, , , 
147208, Fig Nut Chicken Roll-ups, margarine, 2, tablespoons, divided, 202.75799999999998, 0.2538, 0.2538, 22.701, , , 
147208, Fig Nut Chicken Roll-ups, rye bread, 2, cups, cubed old, -, -, -, -, , , 
147208, Fig Nut Chicken Roll-ups, california fig, 1/2, cup, chopped dried, -, -, -, -, , , 
147208, Fig Nut Chicken Roll-ups, pine nut, 1/4, cup, slivered toasted, 227.1375, 4.4145, 4.6204, 23.0749, , , 
147208, Fig Nut Chicken Roll-ups, egg white, 1, , beaten, 17.16, 0.2409, 3.597, 0.0561, , , 
147208, Fig Nut Chicken Roll-ups, chicken breast, 3, , boneless, -, -, -, -, , , 
147208, Fig Nut Chicken Roll-ups, honey, 1, tablespoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147205, Downeast Lobster Bake, lobster, 4, , , 87.2667, 0.0, 18.7227, 0.85, , , 
147205, Downeast Lobster Bake, ear corn, 4, , shucked sweet, -, -, -, -, , , 
147205, Downeast Lobster Bake, onion, 4, , , 112.0, 26.151999999999997, 3.08, 0.28, , , 
147205, Downeast Lobster Bake, crab, 2, , shelled soft, -, -, -, -, , , 
147205, Downeast Lobster Bake, mussel, 2, , , 780.1938, 33.4758, 107.95700000000001, 20.3213, , , 
147205, Downeast Lobster Bake, red bliss potato, 12, , Red, -, -, -, -, , , 
147205, Downeast Lobster Bake, water, 2, cups, , 0.0, 0.0, 0.0, 0.0, , , 
147205, Downeast Lobster Bake, salt, 5, lbs, seaweed crumpled, 16964.6785, 0.0, 114.5343, 1825.7441, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147207, Quebec Baked Beans, white bean, 1, lb, , 1524.0722, 282.3616, 95.7535, 5.3524, , , 
147207, Quebec Baked Beans, onion, 1, , cut, 60.0, 14.01, 1.65, 0.15, , , 
147207, Quebec Baked Beans, mustard, 1, tablespoon, , 0.945, 0.1634, 0.1001, 0.0147, , , 
147207, Quebec Baked Beans, mustard, 1, teaspoon, , 0.945, 0.1634, 0.1001, 0.0147, , , 
147207, Quebec Baked Beans, molasses, 1/2, cup, , 488.65, 125.92, 0.0, 0.1685, , , 
147207, Quebec Baked Beans, ketchup, 1/2, cup, , -, -, -, -, , , 
147207, Quebec Baked Beans, salt pork, 1/2, , , 106.029, 0.0, 0.7158, 11.4109, , , 
147207, Quebec Baked Beans, salt, , , , 106.029, 0.0, 0.7158, 11.4109, , , 
147207, Quebec Baked Beans, pepper, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147209, Flourless Chocolate Chunk Cookies, banana, 3, , mashed, 600.75, 154.17, 7.3575, 2.2275, , , 
147209, Flourless Chocolate Chunk Cookies, applesauce, 1/3, cup, , 34.16, 9.1663, 0.1383, 0.0813, , , 
147209, Flourless Chocolate Chunk Cookies, oat, 2, cups, , 462.48, 124.4936, 32.524, 13.2164, , , 
147209, Flourless Chocolate Chunk Cookies, almond milk, 1/4, cup, , 22.8, 3.9539999999999997, 0.252, 0.624, , , 
147209, Flourless Chocolate Chunk Cookies, raisin, 1/4, cup, , 124.575, 32.802, 1.3984, 0.1898, , , 
