id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2610, Egyptian Lentil Soup, water, 3, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2610, Egyptian Lentil Soup, red lentil, 1, cup, , 687.36, 121.152, 45.9072, 4.1664, , , 
2610, Egyptian Lentil Soup, rom tomato, 1, , quartered, -, -, -, -, , , 
2610, Egyptian Lentil Soup, carrot, 1, , quartered, 52.48, 12.2624, 1.1904, 0.3072, , , 
2610, Egyptian Lentil Soup, onion, 1, , quartered, 28.0, 6.537999999999999, 0.77, 0.07, , , 
2610, Egyptian Lentil Soup, garlic, 4, cloves, quartered, 17.88, 3.9672, 0.7632, 0.06, , , 
2610, Egyptian Lentil Soup, water, 1, cup, , 0.0, 0.0, 0.0, 0.0, , , 
2610, Egyptian Lentil Soup, cumin, 2, teaspoons, ground, 15.75, 1.8581, 0.748, 0.9353, , , 
2610, Egyptian Lentil Soup, sea salt, 1/2, teaspoon, , -, -, -, -, , , 
2610, Egyptian Lentil Soup, black pepper, 1/2, teaspoon, cracked, 2.8865, 0.7354, 0.1195, 0.0375, , , 
2610, Egyptian Lentil Soup, coriander, 1/4, teaspoon, ground, 1.341, 0.2475, 0.0557, 0.08, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2618, Fava Bean Breakfast Spread, fava bean, 1, can, , 766.8666, 131.08700000000002, 58.7406, 3.4408, , , 
2618, Fava Bean Breakfast Spread, olive oil, 1 1/2, tablespoons, , 179.01, 0.0, 0.0, 20.25, , , 
2618, Fava Bean Breakfast Spread, onion, 1, , chopped, 60.0, 14.01, 1.65, 0.15, , , 
2618, Fava Bean Breakfast Spread, tomato, 1, , diced, 32.76, 7.0798, 1.6016, 0.364, , , 
2618, Fava Bean Breakfast Spread, cumin, 1, teaspoon, ground, 7.875, 0.929, 0.374, 0.4677, , , 
2618, Fava Bean Breakfast Spread, parsley, 1/4, cup, chopped, 5.4, 0.9495, 0.4455, 0.1185, , , 
2618, Fava Bean Breakfast Spread, lemon juice, 1/4, cup, , 13.42, 4.209, 0.2135, 0.1464, , , 
2618, Fava Bean Breakfast Spread, salt pepper, to taste, , , -, -, -, -, , , 
2618, Fava Bean Breakfast Spread, red pepper, , , ground, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2619, Koshary, chickpea, 1, can, drained rinsed, 1133.4333, 188.7556, 61.3793, 18.1109, , , 
2619, Koshary, red wine vinegar, 1/4, cup, , 11.3525, 0.1613, 0.0239, 0.0, , , 
2619, Koshary, coriander, 1, teaspoon, ground, 5.364, 0.9898, 0.2227, 0.3199, , , 
2619, Koshary, cayenne pepper, 1, teaspoon, ground, 5.724, 1.0193, 0.2162, 0.3109, , , 
2619, Koshary, cumin, 1/2, teaspoon, ground, 3.9375, 0.4645, 0.187, 0.2338, , , 
2619, Koshary, ditalini pasta, 1/2, package, , -, -, -, -, , , 
2619, Koshary, grain rice, 1 1/2, cups, rinsed, -, -, -, -, , , 
2619, Koshary, cold water, , , , -, -, -, -, , , 
2619, Koshary, dark brown lentil, 1 1/2, cups, , -, -, -, -, , , 
2619, Koshary, water, , , , -, -, -, -, , , 
2619, Koshary, salt black pepper, 1 to taste, pinch, ground, -, -, -, -, , , 
2619, Koshary, olive oil, 1, tablespoon, , 119.34, 0.0, 0.0, 13.5, , , 
2619, Koshary, yellow onion, 1, , minced, 114.84, 6.8382, 0.8265, 9.396, , , 
2619, Koshary, garlic, 3, cloves, minced, 13.41, 2.9754, 0.5724, 0.045, , , 
2619, Koshary, tomato, 1, can, crushed, 62.068999999999996, 13.7631, 3.2384, 0.5397, , , 
2619, Koshary, butter, 1, tablespoon, , 85.5, 3.9285, 2.6715, 7.2, , , 
2619, Koshary, chicken stock, 3, cups, , 259.2, 25.416, 18.144000000000002, 8.64, , , 
