field, value, 
id, 2610, 
name, Egyptian Lentil Soup, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 30 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/222661/egyptian-lentil-soup/, 
instructions, 1. Place 3 cups water lentils tomato carrot onion garlic and chicken bouillon in a stockpot over medium heat; cook until vegetables and lentils are softened 20 to 25 minutes. Remove from heat and cool to lukewarm.
2. Blend vegetable and lentil mixture with an immersion blender until smooth. Stir 1 cup water cumin sea salt pepper and coriander into soup; heat over medium heat until warmed., 
field, value, 
id, 2618, 
name, Fava Bean Breakfast Spread, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 10 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/17596/fava-bean-breakfast-spread/, 
instructions, , 
field, value, 
id, 2619, 
name, Koshary, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 60 minutes Preparation Time - 20 minutes, 
source, https://allrecipes.com/recipe/214832/koshary/, 
instructions, , 
field, value, 
id, 2614, 
name, Dukkah, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 5 minutes Preparation Time - 20 minutes, 
source, https://allrecipes.com/recipe/79684/dukkah/, 
instructions, 1. Preheat the oven to 350 degrees F (175 degrees C). Place the hazelnuts on a baking sheet and bake for about 5 minutes or until fragrant. While the nuts are still hot pour them onto a tea towel. Fold the towel over them to cover and rub vigorously to remove the skins. Set aside to cool.
2. In a dry skillet over medium heat toast the sesame seeds until light golden brown. Pour into a medium bowl as soon as they are done so they will not continue toasting. In the same skillet toast the coriander and cumin seeds while shaking the pan or stirring occasionally until they begin to pop. Transfer to a food processor. Process until finely ground then pour into the bowl with the sesame seeds. Place the cooled hazelnuts into the food processor and process until finely ground. Stir into the bowl with the spices. Season with salt and pepper and mix well., 
field, value, 
id, 2620, 
name, Egyptian Wheat Porridge (Belila), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 20 minutes Preparation Time - 5 minutes, 
source, https://allrecipes.com/recipe/255128/egyptian-wheat-porridge-belila/, 
instructions, 1. Bring 2 cups water to a boil in a saucepan. Add wheat berries. Cover and remove from heat. Let soak 6 hours to overnight. Drain.
2. Combine soaked wheat berries with remaining 4 cups water; bring to a boil. Simmer over medium heat for 10 to 15 minutes. Remove from heat; let stand until berries pop open 10 to 15 minutes more.
3. Divide wheat berries among serving bowls. Add a few spoonfuls of hot milk a handful of almonds and a sprinkle of cinnamon to each bowl before serving., 
field, value, 
id, 2621, 
name, Fava Beans in Tahini Sauce, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 15 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/154114/fava-beans-in-tahini-sauce/, 
instructions, , 
field, value, 
id, 2617, 
name, Couscous with Olives and Sun-Dried Tomato, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 30 minutes Preparation Time - 20 minutes, 
source, https://allrecipes.com/recipe/232210/couscous-with-olives-and-sun-dried-tomato/, 
instructions, , 
field, value, 
id, 2616, 
name, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 25 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/231759/rice-pudding-with-lemon-juice-and-caramelized-onion-egyptian-kishk/, 
instructions, 1. Heat broth in a saucepan over medium heat; add rice and simmer until rice is slightly tender 10 to 12 minutes.
2. Heat butter and oil in a skillet over medium heat; cook onions in the hot butter-oil mixture stirring constantly until onions are golden brown 15 to 20 minutes. Reserve about 1 tablespoon caramelized onions for garnish; spoon the remaining caramelized onions into the simmering broth.
3. Mix yogurt lemon juice and salt in a bowl; whisk flour into yogurt mixture until smooth. Blend yogurt mixture and 1 cup broth (free of onion and rice) in a blender until smooth.
4. Pour blended yogurt mixture into simmering broth; bring to a boil. Reduce heat and simmer until flavors have blended 2 to 3 minutes.
5. Garnish with reserved caramelized onion and toasted pine nuts., 
field, value, 
id, 2622, 
name, Egyptian Feta Cheese Omelet Roll, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 5 minutes Preparation Time - 5 minutes, 
source, https://allrecipes.com/recipe/53863/egyptian-feta-cheese-omelet-roll/, 
instructions, 1. In a small bowl beat eggs and pepper together. In another small bowl combine crumbled cheese with milk.
2. Heat oil in a large non-stick skillet over medium-high heat. Pour in eggs and tilt pan until bottom is evenly covered. When edges appear cooked place feta mixture in a line in the center of eggs. Using a spatula fold eggs over top and bottom of cheese then fold sides over., 
field, value, 
id, 2612, 
name, Egyptian Bamia, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 120 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/227986/egyptian-bamia/, 
instructions, , 
field, value, 
id, 2623, 
name, Quick and Easy Egyptian Chicken Broth, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 23 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/255138/quick-and-easy-egyptian-chicken-broth/, 
instructions, 1. Rub chicken with salt and pepper.
2. Combine chicken giblets and butter in a 5-quart pot over medium heat. Add onion cloves cardamom and bay leaf. Simmer stirring occasionally until moisture has evaporated. Cook chicken until lightly browned 3 to 5 minutes.
3. Pour in enough water to just cover the chicken. Simmer until flavors combine about 20 minutes., 
field, value, 
id, 2613, 
name, Magpie's Easy Falafel Cakes, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 15 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes/, 
instructions, , 
field, value, 
id, 2611, 
name, Egyptian Green Beans with Carrots, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 35 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/233456/egyptian-green-beans-with-carrots/, 
instructions, , 
field, value, 
id, 2615, 
name, Om Ali, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 30 minutes Preparation Time - 30 minutes, 
source, https://allrecipes.com/recipe/19898/om-ali/, 
instructions, , 
field, value, 
id, 2628, 
name, Umm Ali, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 30 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/73059/umm-ali/, 
instructions, , 
field, value, 
id, 2626, 
name, Egyptian Rose Leaves, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, , 
source, , 
instructions, 1. Mix shortening sugar eggs and rose fluid until fluffy. Stir flour and salt together then mix in butter mixture. Dough will be soft. Chill several hours or overnight.
2. Preheat oven to 350 degrees F (175 degrees C) Light grease or line baking sheets with parchment paper.
3. Using 1/3 of dough at time (keep rest of dough refrigerated) roll into balls about 3/4 inch in diameter. Place on cookie sheets. Flatten with hand until approximately half of their original thickness. Imagine the flattened cookie to be a clock. Make 2 slits each 1/2 inch long in cookie at 10:00 and at 2:00. Pinch bottom to form "base" of petal.  Sprinkle with red or pink decorator's sugar.
4. Bake at 350 degrees F (175 degrees C) for 8 to 10 minutes or until lightly browned on bottom. Do not brown tops of cookies!, 
field, value, 
id, 2631, 
name, Ta'ameya (Egyptian Falafel), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 8 minutes Preparation Time - 20 minutes, 
source, https://allrecipes.com/recipe/254743/taameya-egyptian-falafel/, 
instructions, 1. Place fava beans in large bowl and cover with several inches of water. Let soak 8 hours to overnight. Drain.
2. Combine soaked fava beans red onion parsley cilantro dill garlic coriander salt and cumin in a food processor; process to a dough-like consistency.
3. Heat a skillet over medium heat. Add sesame seeds; cook stirring occasionally until toasted about 5 minutes. Transfer to a large plate.
4. Shape fava bean mixture into balls. Roll in sesame seeds to coat.
5. Fill a large saucepan 1/4 full with oil; heat over medium heat. Fry fava bean balls in batches until golden brown 3 to 5 minutes. Drain on paper towels., 
field, value, 
id, 2633, 
name, Fried Katayef (Egyptian Dessert), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 15 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/150227/fried-katayef-egyptian-dessert/, 
instructions, , 
field, value, 
id, 2624, 
name, Dukka, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, , 
source, , 
instructions, , 
field, value, 
id, 2625, 
name, Balah el Sham (Egyptian Choux Pastry), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 26 minutes Preparation Time - 30 minutes, 
source, https://allrecipes.com/recipe/255140/balah-el-sham-egyptian-choux-pastry/, 
instructions, 1. Combine 1 cup water and 1 cup sugar in a saucepan over high heat. Bring to a boil; stir until  sugar dissolves. Reduce heat to medium; add lime juice. Simmer until flavors combine about 10 minutes. Remove from heat. Stir 1 teaspoon vanilla extract into the syrup; let cool.
2. Stir 2 cups water 1 cup sugar vegetable oil and salt together in a pot over medium-high heat; bring to a boil. Reduce heat to medium. Add flour; stir vigorously with a wooden spoon until batter forms into a ball. Cook until batter is shiny about 1 minute. Transfer to a bowl; allow to cool about 5 minutes.
3. Flatten batter into the bottom of the bowl. Add eggs 1 at a time mixing well after each addition. Stir in remaining 1 teaspoon vanilla extract; mix until batter is creamy. Pour into a cloth piping bag fitted with a large star tip.
4. Heat corn oil in a deep saucepan over medium heat until bubbly; reduce heat to medium-low. Squeeze 2 inches of batter onto an oiled spatula and lower into the hot oil; repeat until saucepan is full. Cook turning occasionally until golden brown about 5 minutes. Transfer pastries to a paper bag to drain about 30 seconds.
5. Soak hot pastries in syrup; transfer to a plate to cool about 5 minutes., 
field, value, 
id, 2627, 
name, Kofta, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 10 minutes Preparation Time - 20 minutes, 
source, https://allrecipes.com/recipe/80328/kofta/, 
instructions, 1. In a medium bowl mix together the ground beef onion egg yolk oregano salt and pepper.
2. Pick up medium sized handfuls and press them onto skewers. Roll on a lightly oiled clean surface until the mixture looks like a large ground beef hot dog with about 1 1/2 inches at each end of the skewer. Place your fingers in the middle of the skewer and separate the meat log into two sausages with about 1 inch of skewer sticking out at each end.
3. Prepare a grill for high heat or if you only have a grill pan like myself heat it over medium-high heat.
4. Place the sausages on the grilling surface and cook for about 10 minutes turning once or twice for even cooking. Serve immediately., 
field, value, 
id, 2632, 
name, Egyptian Koshary, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 95 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/173422/egyptian-koshary/, 
instructions, 1. Heat 1 tablespoon vegetable oil in a saucepan over medium-high heat. Stir in rice; continue stirring until rice is coated with oil about 3 minutes. Add 3 cups water and 1 teaspoon of salt. Bring to a boil; reduce heat to low cover and simmer until the rice is tender and liquid has been absorbed 20 to 25 minutes.
2. Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Stir in the macaroni and return to a boil. Cook the macaroni uncovered stirring occasionally until the it has cooked through but is still firm to the bite about 8 minutes. Drain well in a colander. Return macaroni to cooking pot cover and keep warm.
3. Soak lentils for 30 minutes. Drain and rinse; drain again. Bring 2 cups water to a boil in a pot and stir in lentils. Bring to a boil; cover and reduce heat to low. Simmer until lentils are tender 15 or 20 minutes. Stir in 1/2 teaspoon salt.
4. Heat 1 tablespoon vegetable oil in a large skillet over medium-high heat. Cook the onions in the oil stirring often until they begin to brown 10 to 15 minutes. Onions should be a nice caramelized brown color. Add garlic and cook another minute. Remove from pan drain on a paper towel-lined plate.
5. Place half of the onion mixture into a saucepan. Mix in the vinegar. Add the chopped tomatoes and tomato paste black pepper 2 1/2 teaspoons salt cumin and cayenne (if using). Bring to a boil then reduce heat to medium-low and simmer about 12 minutes.
6. Serve by placing a spoonful of rice then macaroni and then the lentils on serving plates. Sprinkle with some of the browned onions then top with tomato sauce., 
field, value, 
id, 2629, 
name, Egyptian Koshari, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 45 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/159456/egyptian-koshari/, 
instructions, 1. Combine the lentils and water in a large saucepan. Bring to a boil then simmer over medium heat for 25 minutes. Add the rice to the lentils and continue to simmer for an additional 20 minutes or until rice is tender.
2. Fill a separate saucepan with lightly salted water and bring to a boil. Add the macaroni and cook until tender about 8 minutes. Drain.
3. Meanwhile heat the vegetable oil in a large skillet over medium heat. Add onion and garlic; cook and stir until onion is lightly browned. Pour in the tomatoes and season with red pepper flakes salt and pepper. Simmer over medium heat for 10 to 20 minutes.
4. In a large serving dish stir together the lentils rice and macaroni. Mix in the tomato sauce until evenly coated., 
field, value, 
id, 2630, 
name, Saboob (Egyptian Flatbread), 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 8 minutes Preparation Time - 15 minutes, 
source, https://allrecipes.com/recipe/246326/saboob-egyptian-flatbread/, 
instructions, , 
field, value, 
id, 2634, 
name, The Perfect Egyptian Rice with Vermicelli, 
cuisine, African >> Middle Eastern >> Egyptian, 
time, Cooking Time - 21 minutes Preparation Time - 10 minutes, 
source, https://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli/, 
instructions, , 
field, value, 
id, 2635, 
name, Egyptian Meatballs, 
